neighbourhood,estimated_revenue
Westlake Hills,288577.6434108527
Mesa Park,137026.27272727274
Anderson Mill,105250.56521739131
St. Edwards,73411.0824742268
Balcony Woods,63263.360655737706
Old Enfield,59686.681818181816
South Lamar,53734.969798657716
South First,49126.68421052631
Wooten,48903.9375
West Congress,44813.31506849315
Old West Austin,40483.720207253886
Brentwood,39519.97345132743
University Hills,37674.828571428574
Highland,36865.870588235295
East Downtown,31685.89032901296
Allendale,30360.595041322315
Northwest Hills,27767.295454545456
Tarrytown,26473.39814814815
Dawson,25904.339805825242
Travis Heights,25538.749385749386
Crestview,25298.03076923077
East Riverside,25252.904191616766
Hyde Park,24664.556962025315
Clarksville,24384.256637168142
Bouldin Creek,22861.287925696593
Bryker Woods,22061.625
Zilker,21640.350427350426
Galindo,21339.50495049505
Gateway,20755.619047619046
Balcones Civic Association,20501.263157894737
Rosedale,20246.209677419356
Windsor Park,19614.144
University of Texas,19601.32581453634
Downtown,19223.940203562343
South Congress,18194.81818181818
Holly,18103.696774193548
West Campus,17734.735849056604
Sunset Valley,17584.88
Rollingwood,17034.62162162162
Upper Boggy Creek,16913.932960893853
Long Canyon,16703.663157894738
South Manchaca,15289.538461538461
Westgate,14225.64406779661
Steiner Ranch,13935.088607594937
West Austin,13645.973684210527
Oak Hill,12788.351351351352
Govalle,12448.268292682927
Cherry Creek,12165.865546218487
Hancock,11694.276315789473
Rosewood,11517.967213114754
Barton Creek,11461.627659574468
Gracywoods,11313.172839506173
St. Johns,11156.842105263158
Georgian Acres,10905.166666666666
Barton Hills,10877.794223826715
Lamplight Village,10851.541666666666
Walnut Creek,10669.333333333334
Mueller,10516.709923664122
North Loop,10294.201058201059
Circle C,9545.805555555555
MLK & 183,9537.736625514402
McKinney,9032.775
Parker Lane,8828.45588235294
Rainey Street,8414.354838709678
Angus Valley,8274.227272727272
Pecan Spings,6822.118644067797
Bull Creek,6345.75
East Congress,6321.717948717948
Cat Mountian,6206.9
Montopolis,6072.940740740741
Windsor Hills,5699.0
Milwood,5630.090909090909
Scofield Ridge,5407.375
North Shoal Creek,5231.576923076923
Canyon Mesa,5148.333333333333
Copperfield,2959.9166666666665
SW Williamson Co.,2772.8860759493673
Pleasant Valley,2325.318181818182
